30274194	2021-06-21T13:03:50.000Z	1406961055067258883	 should also take more responsibility in giving a full refund when booked through their portal instead of going by the airline policy. What’s the point of travel insurance and card membership fees?	{'place_id': '011add077f4d2da3'}
132585780	2021-06-21T12:51:59.000Z	1406958074674417670	             My best friend got a spot in Georgia and I can visit anytime soooo lol I’m ready 😂😂	{'place_id': '01a9a39529b27f36'}
132585780	2021-06-21T12:50:11.000Z	1406957619382820869	             Well we all travel lol except a few probably like 0 but lol I understand but if you come to NY or travel to other places like Vegas Florida PHX etc etc just hit one of us up we ready to collab and actually put in work	{'place_id': '01a9a39529b27f36'}
57982970	2021-06-21T12:26:12.000Z	1406951586195247105	I can't believe my parents were around my age in these pics (0-0). I get so sad seeing them grow older each time I visit them 😢 	{'place_id': '011add077f4d2da3'}
28041532	2021-06-21T12:24:27.000Z	1406951143729680389	Monday is for people with a mission. Those who favor vacations, not weekends.-Cristina Imre    	{'place_id': 'bda900177f5d9f42'}
775754	2021-06-21T11:31:35.000Z	1406937839548436483	The Upper Peninsula is incredibly beautiful and I am so happy more people are getting to experience that.	{'place_id': '011add077f4d2da3'}
1370759634399690754	2021-06-21T10:51:38.000Z	1406927784962887680	Travel Day ! Houston here I come !  via 	{'place_id': '011add077f4d2da3'}
148466750	2021-06-21T10:40:29.000Z	1406924980592447495	 hosted ’ PRIDE BBQ in Prospect Park yesterday treating our clients to one of their first group gatherings of 0. To learn more about how you can support HOMELESS LGBTQ YOUTH in NYC visit  	{'place_id': '011add077f4d2da3'}
15893397	2021-06-21T08:24:46.000Z	1406890828606459904	   Visit on a sailboat. 	{'place_id': 'b8d145028b2571ac'}
38162891	2021-06-21T06:16:29.000Z	1406858542204739584	After 0 hours of travel, it is nice to be back on New Jersey soil. Hello my friend, Newark International Airport. 	{'place_id': '136019f64a959002'}
2938776975	2021-06-21T05:07:41.000Z	1406841229321687042	My debut visit to Miami Beach!Very excited indeed 😍Rt please 😘 	{'place_id': '011add077f4d2da3'}
22971930	2021-06-21T03:55:48.000Z	1406823140328607744	Likely big news for  &  on Monday as Prime Min. Sanchez plans travel to Barcelona to announce pardons of 0 Catalan activists/politicians jailed for Oct. 0 independence referendum. Any pardons will require review by ministers council.	{'place_id': '011add077f4d2da3'}
18137816	2021-06-21T03:49:00.000Z	1406821427119022081	Happy Father’s Day, Chris Bryan-Brown. Hope the travel home from Wisconsin was ok! ❤️ @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
460051837	2021-06-21T03:38:28.000Z	1406818778617462790	Honored to receive a blessing from Rabbi Horowitz, the Grand Rabbi of Spinka.  Always a pleasure to visit my friends in the Williamsburg Jewish community and discuss how we will build a better Brooklyn for all. 	{'place_id': '011add077f4d2da3'}
706146283149500417	2021-06-21T03:30:59.000Z	1406816891725885444	Felt a little funky today because I really wanted to visit my dad's grave before today but life has been so crazy...😵‍💫 But I definitely plan on going sometime this Summer. Haven't been @ all in 0 years... (long overdue!) It's time!  💭	{'place_id': '01a9a39529b27f36'}
38327066	2021-06-21T03:02:14.000Z	1406809656966721538	Celebration! Started with a visit to Terroir, celebrated our 0 year anniversary @  Aita in Brooklyn, our son's middle school graduation, our daughter's final softball game of the season,  National Arts Club, Giginos, in Battery Park City, a 0K, used S'mores Kit & Father's Day! 	{'place_id': '01a9a39529b27f36'}
54915026	2021-06-21T02:46:34.000Z	1406805715184926727	Dad on fine form on FaceTime today. Lovely to see him, he usually stays off camera and just shouts rugby law questions at me from whatever game he’s watched. We agreed the travel ban is unsustainable bollocks, fingers crossed it ends soon and I can see him and mum in person again	{'place_id': '01a9a39529b27f36'}
90687956	2021-06-21T02:35:01.000Z	1406802807982788608	That was as clear a travel as I’ve ever seen. What is wrong with these refs?  	{'place_id': '011add077f4d2da3'}
1192379740415500288	2021-06-21T02:34:33.000Z	1406802691070869505	                                                  How that wasn’t a;0. Travel on Milton0. Foul on Collins	{'place_id': '011add077f4d2da3'}
2585166581	2021-06-21T02:34:26.000Z	1406802660758634498	Well that’s just simply a travel	{'place_id': '01a9a39529b27f36'}
192782329	2021-06-21T02:34:02.000Z	1406802561353588738	That was a travel, B	{'place_id': '01a9a39529b27f36'}
2263805079	2021-06-21T02:19:45.000Z	1406798968705761282	day 0 of  productive day of going to the gym, grocery shopping, and cleaning! then called my mom and when she started talking abt holiday plans, told her I wouldn't travel w/ them if they weren't vaccinated...and she got real upset and...it was bad =\ 	{'place_id': '01a9a39529b27f36'}
15664858	2021-06-21T01:42:41.000Z	1406789638329671682	Name a US city you think I should visit in December.	{'place_id': '011add077f4d2da3'}
437490089	2021-06-21T01:32:31.000Z	1406787080626319365	American Airlines cancels hundreds of flights due to staffing crunch, maintenance issues…         	{'place_id': '27485069891a7938'}
19656781	2021-06-21T01:23:53.000Z	1406784907590914048	Summer Travel Meals: Jersey (Newark & JC)0. Crab fries from Just BeClaws @ Newark, New Jersey 	{'coordinates': {'type': 'Point', 'coordinates': [-74.1849, 40.7352]}, 'place_id': 'fa3435044b52ecc7'}
2222199816	2021-06-21T00:59:01.000Z	1406778648548491265	??? The sunshine helps rid peoples Seasonal depression? Most people travel to warm weather locations for vacation ?? The beach exists ??? Bye 	{'place_id': '01a9a39529b27f36'}
755979898498510848	2021-06-21T00:55:07.000Z	1406777667349794816	Lol although it didn’t work out for us it’s funny and kinda cool to see the ‘f*ck Trae Young’ chants travel well from NYC to Philly…	{'place_id': '01a9a39529b27f36'}
