1371574982212476929	2021-12-15T21:44:12.000Z	1471234663268106245	✨Visit  & Shop Our Crop Top Hoodie🌟 	{'place_id': '1c69a67ad480e1b1'}
14397711	2021-12-15T20:51:13.000Z	1471221327453380623	I'm at Love's Travel Stop -  in Deer Park, TX 	{'coordinates': {'type': 'Point', 'coordinates': [-95.09284504, 29.70737124]}, 'place_id': 'cc480e2388809012'}
14397711	2021-12-15T20:06:20.000Z	1471210032956071949	Visit to the Battleship Texas. It's closed for repairs but you can see the exterior. (@ USS Texas (BB-0) in La Porte, TX)  	{'coordinates': {'type': 'Point', 'coordinates': [-95.0896957, 29.75620172]}, 'place_id': 'e0060cda70f5f341'}
1393926977615245313	2021-12-15T18:51:45.000Z	1471191263261122566	bell hooks. You've earned your caps....BELL HOOKS. Travel in LIGHT. Rest Well. Thank You for your word works. 	{'place_id': '1c69a67ad480e1b1'}
1255104775814873089	2021-12-15T17:24:27.000Z	1471169296286068738	Sharing  free museum resources and  lessons with  specialists this morning. Visit our website  to learn more about our bilingual educational resources, programs, and field trip information.   📚 	{'place_id': '07d9d29712880000'}
806828346768293888	2021-12-15T16:54:42.000Z	1471161806211145741	Dangerous unprecedented Severe (Moderate Risk 0/0) and Fire Weather conditions are expected today across portions of the CONUS. A fast moving storm system will produce multiple weather hazards through tonight. Stay weather aware and visit  	{'place_id': '01e74c422dab6107'}
1278455869	2021-12-15T15:30:41.000Z	1471140663802613768	   Okay, not EVERY SINGLE PERSON that works in the league has Covid. Even the ones that did would need to travel across the country and continue to spread it to the public. You guys are really a bunch of brain dead fucking zombies	{'place_id': 'cf3b45e29c2c319b'}
1347572773670035457	2021-12-15T15:19:35.000Z	1471137871927074824	Setting up for Spring 0 UB fam!We are planning a college visit to UT-Dallas in April. Check google classroom for details & reach out to Roberto to rsvp!         	{'place_id': '1c69a67ad480e1b1'}
15857113	2021-12-15T15:12:03.000Z	1471135977070604297	Driving through Houston and pointing out places that I covered as crime scenes. Two decades on the crime beat means you visit a lot of geography in the less-fashionable parts of a city.	{'place_id': '1c69a67ad480e1b1'}
1578253284	2021-12-15T14:45:37.000Z	1471129324111765508	A great big THANK YOU to Christopher Gongolas and Cathy Echols for your visit to the gallery yesterday! We are so grateful and we love you! Safe travels! Merry Christmas! @ Heidi Vaughan Fine Art 	{'coordinates': {'type': 'Point', 'coordinates': [-95.42007, 29.73456]}, 'place_id': '1c69a67ad480e1b1'}
583949443	2021-12-15T14:31:33.000Z	1471125783150276610	I'm 💯 in on this! I'd buy a ticket. I'd travel. I'd wait in line. 	{'place_id': '1c69a67ad480e1b1'}
1433734068764618782	2021-12-15T13:48:50.000Z	1471115031052001282	 I get that at every doctors visit. They never see all of the muscles on me, just weight from the scale	{'place_id': '1c69a67ad480e1b1'}
143684146	2021-12-15T11:56:29.000Z	1471086758637056011	So if the only people allowed to travel are vaccinated people, and omicron was only found IN vaccinated people… yeah mam you’re misguided severely  	{'place_id': '798522f39f66d411'}
74941620	2021-12-15T05:47:06.000Z	1470993801724444673	I miss annoying Bridge,  and   in one sitting I’m due for visit to them	{'place_id': '1c69a67ad480e1b1'}
1460232250109353991	2021-12-15T05:38:55.000Z	1470991742740705286	 I’m coming to visit again sexy 😈	{'place_id': '1c69a67ad480e1b1'}
558914811	2021-12-15T03:17:59.000Z	1470956274959400971	Announcement: Hamilton MS will be hosting Camp Spark from 0am to 0pm on Mon, Dec. 0th to Tues, Dec. 0st.  Please visit our campus website for more details!   ➡️➡️ 	{'place_id': '1c69a67ad480e1b1'}
945774662784638977	2021-12-16T21:42:08.000Z	1471596532671688707	Next year I’m celebrating my birthday the way that I deserve. I don’t care if I gotta travel outside the country by myself.	{'place_id': 'bcb210d6cf34438a'}
143684146	2021-12-16T21:26:49.000Z	1471592677774925835	I wish I would listen to a man I’ve never met before tell me across a god damn television set, “don’t go visit your family over the holidays” 😂😂😂😂😂 yall folk need to grow some balls and ovaries	{'place_id': '1c69a67ad480e1b1'}
1325188311242186752	2021-12-16T20:00:08.000Z	1471570861639577601	 today to  on business.  busy but all went smoothly!          	{'place_id': '1c69a67ad480e1b1'}
1604652422	2021-12-16T18:31:18.000Z	1471548504686448645	  with ・・・Keep it simple, yet tasty! 😋Chicken bites and sweet potato fries are just the perfect combo! Come visit us today and stay on track. Cal 0-0-0 for more information. Order over at    	{'place_id': '07d9e2288c881001'}
31403	2021-12-16T18:30:18.000Z	1471548255112675334	Took the day off to visit the Museum of Fine Arts, which is scattered across three massive buildings. What I was not expecting to find was a Renoir just casually hanging out on the ground. Hilarious example of just how much art is here. 	{'place_id': '5a34d855c2bc283b'}
317550098	2021-12-16T17:25:23.000Z	1471531916625129481	"A reminder that BARC publishes a list of ""Urgent Pets"" on our website to highlight animals who have been in the shelter for a long time, are at high risk for euthanasia, and require immediate assistance to leave the shelter. Please visit  to help."	{'place_id': '1c69a67ad480e1b1'}
3002760438	2021-12-16T17:10:10.000Z	1471528088370569226	Don’t come visit Houston lil bro they can’t drive and still be pushing 0 😂 	{'place_id': '1c69a67ad480e1b1'}
