896461385860878336	2021-05-18T13:55:34.000Z	1394652889604235266	 Thank you  🙏 will be happy to visit anytime	{'place_id': 'efdc0bd6b3e2a8fb'}
8891042	2021-05-18T13:12:01.000Z	1394641926691856385	 I turned my last trip into a workcation when I was in SF last year. I wrote several pieces but only one was travel.  I almost wrote travel stuff more but I actually took some vacation time too. I'd love to do that in NY if possible as well.	{'place_id': 'a75bc1fb166cd594'}
43995047	2021-05-18T09:27:28.000Z	1394585416448106503	They ask your weight on ANY small aircraft that fly to islands…or PROVINCETOWN…have for ever. 	{'place_id': '3b77caf94bfc81fe'}
71072883	2021-05-18T06:24:30.000Z	1394539374805610496	 I love you too mamas, still waiting for u to come visit me!	{'place_id': '3b77caf94bfc81fe'}
480259239	2021-05-18T06:06:24.000Z	1394534818889699329	Ugh gotta fly to NY in a few hours... 	{'place_id': '3b77caf94bfc81fe'}
112484044	2021-05-18T05:59:21.000Z	1394533045147820035	 Jen when will the travel ban from Ireland be lifted thanks asking for a friend! Really asking for my daughter & fiancé.	{'place_id': '3b77caf94bfc81fe'}
35927341	2021-05-18T05:50:04.000Z	1394530709583265801	I’m thrilled wt all th love my new film Rk/RKay is getting from the critics:)! For more on th film, theatres & ticket links visit    	{'place_id': '3b77caf94bfc81fe'}
146321597	2021-05-18T05:42:35.000Z	1394528825174679553	 And When You Do I’m Coming To Visit I Miss My Nephews And Niece	{'place_id': '3b77caf94bfc81fe'}
142190047	2021-05-18T05:29:50.000Z	1394525615651385346	Not to mention... Michael is just an overall quality human being. Trying to find great people in travel ball can be challenging. When you find one, stick with them! 	{'place_id': '341aa0cdb944022e'}
1275470303250931712	2021-05-18T05:13:34.000Z	1394521521855533063	When your mama is coming to visit you.... 🥰 @ Chino Hills, California 	{'place_id': '5e68ca240e32025a', 'coordinates': {'type': 'Point', 'coordinates': [-117.7324, 33.9822]}}
75616633	2021-05-18T04:40:16.000Z	1394513142785331202	  I kinda hope not, as it’s too soon to travel and layer in that I’m afraid to fly.But I’m going to suck it up in 0 and my husband & I are traveling to Iceland, Ireland and then Italy!	{'place_id': '01c060cf466c6ce3'}
1564629164	2021-05-18T04:30:53.000Z	1394510779005558789	 Amy Kremer and Andrew Clyde need to visit an Opthalmologist.Stat!	{'place_id': '3b77caf94bfc81fe'}
1225559930	2021-05-18T04:27:20.000Z	1394509887191666688	 I’m sorry your family doesn’t visit you. It’s a bummer that negative energy got brought to my tweet.	{'place_id': '3b77caf94bfc81fe'}
400939987	2021-05-18T03:25:58.000Z	1394494441755267076	Also, big thanks to  for making a surprise visit in the YT chat and sharing the streaming link! You rock man! 👍🏻👍🏻 	{'place_id': '3b77caf94bfc81fe'}
1193682091424092160	2021-05-18T03:14:49.000Z	1394491637552750593	 🥺🥺🥺🥺 I love you, can’t wait to visit	{'place_id': 'b2fda7385aa963dd'}
96074796	2021-05-18T02:32:12.000Z	1394480913543696391	 If you get anything answers pls lmk my cousins are coming to visit for the first time and I want to take them lol	{'place_id': '3b77caf94bfc81fe'}
88551535	2021-05-18T02:07:19.000Z	1394474651942723585	One time I was flying to visit a boy in New York for the weekend and I told my boss “I’m getting lasik eye surgery, it’s a 0 hour turn around with recovery so I’ll be ready to work in 0 days!”	{'place_id': '3b77caf94bfc81fe'}
873034890563862529	2021-05-18T01:33:22.000Z	1394466108028030976	Varsity Baseball ⚾️ shuts out  0-0. JR right handed Cade Nolan got the WinThe undefeated Falcons (0-0, 0-0) travel to  on Wednesday 0/0     	{'place_id': '5e68ca240e32025a'}
608198362	2021-05-18T01:32:48.000Z	1394465966327619584	         Pop Trash is not an album that I visit often. I went with Someone Else Not Me. I generally love the ballads - esp Come Undone & Save A Prayer.  I mostly like this. Yet it doesn’t *quite* hit me like the other ballads do. I give it a B-.	{'place_id': '10de09f288b1665c'}
834812053	2021-05-18T01:20:38.000Z	1394462903579774976	Ann💃🏽went to the Nike store to visit with her very favorite Manager, LUNA💛who brought out all my Nike talents! Enabling me to signup 0 people or more per day of work!👀Forever Love him!!!❤️And his Nike Cheers!📢😸Just Do It!✔️   💙 	{'place_id': '11f365e9aa143003'}
1369088263873392652	2021-05-18T01:12:37.000Z	1394460885263867905	A Day When Cousin Which is Primo All The Way From Fucking LA  California  as America To Belize came up with something trying to help our community With Saturation Colors    	{'place_id': '3b77caf94bfc81fe'}
873034890563862529	2021-05-18T00:22:54.000Z	1394448372661030913	FINALSoftball 🥎 falls to v  0-0The Lady Falcons travel to OC on Wednesday 	{'place_id': '5e68ca240e32025a'}
4725456236	2021-05-19T23:52:22.000Z	1395165464796418049	Time to book my travel ✈️Clark County Reopens at 0 Percent Capacity on June 0 With No Restrictions   	{'place_id': '3b77caf94bfc81fe'}
57805365	2021-05-19T22:53:47.000Z	1395150723600375814	 For more information on the ways we can help you establish a music career you are welcome to visit our official website  or contact the office at info	{'place_id': '3b77caf94bfc81fe'}
2523228858	2021-05-19T22:23:21.000Z	1395143065162027012	  Thanks! I have relatives in NJ. If we visit them someday I’ll take a look at it..	{'place_id': '0706a21788cadb8d'}
2787131312	2021-05-19T22:07:46.000Z	1395139143064178689	My class heard BIRTHDAY during our  visit today 😀Happy Birthday  🎉 	{'place_id': 'fdb4ee1440650043'}
1154846504156200960	2021-05-19T21:34:58.000Z	1395130885997928448	Feeling  Book a trip to  🎰Play the slots, Walk The Strip, Eat Good Food, Live, Laugh, Travel.  Dreaming is where your next adventure begins and as your trusted travel advisor, I can help get you there. Plan Now & Travel Later! ✈️ Shawn 	{'place_id': '01c060cf466c6ce3'}
1514725219	2021-05-19T21:27:17.000Z	1395128955422744579	Special guest came back home to visit. Two-sport start at UCLA JonJon Vaughns ‘0 was on campus today to check in with his Brave Brothers.  Good ole’ 0 never looked better!   	{'place_id': '07d9e3ddf6886003'}
748262536483577856	2021-05-19T21:13:10.000Z	1395125402599772160	Back for a visit in La. @ Brentwood Country Mart 	{'coordinates': {'type': 'Point', 'coordinates': [-118.49057017, 34.04762445]}, 'place_id': '59612bd882018c51'}
3431717713	2021-05-19T20:57:12.000Z	1395121381981843457	Hopefully I visit Portland this weekend 🥳🥳	{'place_id': '3b77caf94bfc81fe'}
1005756062	2021-05-19T20:52:51.000Z	1395120288514277386	This has been a great month, I’ve had my sis come visit, and two of my other best friends come visit, I got the month of May 😻😻😻	{'place_id': '3b77caf94bfc81fe'}
16716641	2021-05-19T20:34:48.000Z	1395115747802632195	 I’d be happy to set a reminder to visit your site regularly and click on links regularly to help you if you do via not doing pop ups 😉😊💛	{'place_id': '3b77caf94bfc81fe'}
240538288	2021-05-19T19:55:00.000Z	1395105728935776258	Just booked my first international flight since January 0. Feels amazing to have travel across the pond to look forward to. Thank you  💙	{'place_id': '1927193c57f35d51'}
293714243	2021-05-19T19:49:43.000Z	1395104401673445376	You don’t get this when you travel domestic 	{'place_id': '3b77caf94bfc81fe'}
19172977	2021-05-19T19:31:21.000Z	1395099779131080705	I’m not mad at the up charge,  but I certainly won’t do it to ride the ride 0x. My droid is interactive with SWGE and I can use it at home fully too. What am I going to do with a ride specific item at home to a ride/park I may not visit again for a long while.	{'place_id': '3b77caf94bfc81fe'}
727636236710502400	2021-05-19T19:26:12.000Z	1395098482105413633	Used this video to show our class that Grogu will be arriving soon and is just traveling through the galaxy to come visit us again next week. They love Grogu! Lol   	{'place_id': '0c2e6999105f8070'}
41985556	2021-05-19T19:26:08.000Z	1395098465793806338	Got tickets to see  at  and  however, I’m going to do my best to convince my wife to fly to NY to see them on 0/0. Wish me luck    	{'place_id': '3b77caf94bfc81fe'}
134700447	2021-05-19T19:04:39.000Z	1395093057087836161	I stopped by for a visit..also stress testing the  before it heads to Tijuana..I can feel the clutch seizing at 0nd gear but the mechanic says I'm not timing it out correctly ? 	{'place_id': '0fc6568d145d84ac'}
