36462781	2021-03-26T19:47:04.000Z	1375534788728197125	i wanna go out tonight even tho i gotta work tomorrow	{'place_id': '88bddb0e2768943d'}
84712395	2021-03-26T19:43:28.000Z	1375533882406232070	 Naw don’t get too happy. They’d have to pay me to go to school but its hella Black people going.	{'place_id': '1d9a5370a355ab0c'}
1218334253529870338	2021-03-26T18:21:01.000Z	1375513134861983744	now that i’m 0 i wanna go out for drinks everyday 🥺😭	{'place_id': '1d9a5370a355ab0c'}
259452536	2021-03-26T18:13:32.000Z	1375511250788966403	  Ps. Just because something is the rule doesn’t mean we have to participate. We can be deliberate about where we choose to live, send our kids to school, spend our money. Saying “oh it’s where I’m zoned” is a privileged cop-out.	{'place_id': '1d9a5370a355ab0c'}
137476855	2021-03-26T17:55:37.000Z	1375506739382996992	When you go out for sunrise but it’s a major dud. 🥲These lil waves were interesting tho. Might’ve gotten my camera just a little wet 😂. 	{'place_id': '1d9a5370a355ab0c'}
272634535	2021-03-26T17:29:04.000Z	1375500059396169731	 Let’s go out tonight 🤓	{'place_id': '1d9a5370a355ab0c'}
1164634049274531840	2021-03-26T16:58:56.000Z	1375492476878921737	Why do people go out of town to eat at the Sugar Factory?	{'place_id': '1d9a5370a355ab0c'}
78460229	2021-03-26T15:45:57.000Z	1375474109627437062	How are you gonna go out of the country and not tell me as your manager? You think we don’t track our tech? Ayyy - personally idc pero avisa por dios	{'place_id': '1d9a5370a355ab0c'}
377661926	2021-03-26T15:24:51.000Z	1375468798178906114	Ion even want to go out on dates no more just bring over a bottle and a blunt I’ll order us food lol	{'place_id': '1d9a5370a355ab0c'}
36462781	2021-03-26T13:04:59.000Z	1375433601374957569	gotta change & go to work now 🥱	{'place_id': '5b217454f4bd5f04'}
1107258537208619009	2021-03-26T12:30:22.000Z	1375424890149437440	If you went to school with me you know I been a germaphob before corona lmao I didn’t playy	{'place_id': '1d9a5370a355ab0c'}
28121376	2021-03-26T12:27:19.000Z	1375424122822483972	A huge big happy birthday going out to the one & Only Chaka Khan.           @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
199517517	2021-03-26T11:21:42.000Z	1375407610573250567	Yes EVERYONE is back to school ! 	{'place_id': '3043553c157634be'}
452553752	2021-03-26T04:44:12.000Z	1375307573398749185	The bitch so bad but still can’t go out sad	{'place_id': '1d9a5370a355ab0c'}
89000691	2021-03-26T02:40:27.000Z	1375276431287193603	Go out ? Stay in? 🙄	{'place_id': '1d9a5370a355ab0c'}
28420338	2021-03-26T02:01:18.000Z	1375266580293124098	It’s pretty awful, guys. Nanny comes “first thing in the morning” the kids go to school end then she hangs out all day until after 0pm? Wat.	{'place_id': '1d9a5370a355ab0c'}
23870264	2021-03-26T01:47:35.000Z	1375263129953837056	 Go out there and sparkle darling!	{'place_id': '1d9a5370a355ab0c'}
4861405423	2021-03-26T00:24:21.000Z	1375242182618185742	Be careful , don’t take advantage. You will go out sad	{'place_id': 'c8b021ffd0c94ffc'}
1218334253529870338	2021-03-27T19:18:37.000Z	1375890017550229510	my problem is now that i’m 0, i wanna go out for drinks every time it’s nice out 😭	{'place_id': '1d9a5370a355ab0c'}
19560898	2021-03-27T19:14:23.000Z	1375888951735640066	 I forgot that was today. I was about to go out but not if it’s raining	{'place_id': '1d9a5370a355ab0c'}
32667165	2021-03-27T18:11:42.000Z	1375873175553212427	Fuk it put a dress on wid no panties and heels fuk it we going out tonight 😩	{'place_id': '1d9a5370a355ab0c'}
22175036	2021-03-27T08:52:29.000Z	1375732446428344322	These young boys feel like you're going to kill or beat the shit out of them anyway, so why not go out in a blaze!? This is the climate YOU created. That energy ALWAYS comes back.  	{'place_id': '1d9a5370a355ab0c'}
3184401930	2021-03-27T05:35:07.000Z	1375682776016519183	I want go out to eat right now	{'place_id': '1d9a5370a355ab0c'}
486428420	2021-03-27T02:38:13.000Z	1375638260148494337	Started back working out at planet fitness to get myself back used to act of getting up and going out .... because since quarantine I find going out and doing simple shit exhausting	{'place_id': '1d9a5370a355ab0c'}
1082077644164923395	2021-03-27T02:08:35.000Z	1375630802000678914	I believe that you're absurd Megyn Kelly for going out on a limb 0 defend a Sharon who clearly looked down on her cohorts & regularly peppered her comments w racial slurs. But if you're into that Megyn you do you. Just b prepared 0 lose lifelong fans now that u support racism. 	{'place_id': '5e80ee08ea361155'}
513524990	2021-03-27T01:25:52.000Z	1375620052062380038	I felt like going out to 0 of my favorite spots @ Benihana 	{'coordinates': {'type': 'Point', 'coordinates': [-87.99802631, 41.83933441]}, 'place_id': '9f3d755fe1a081a4'}
1323716053	2021-03-28T20:27:16.000Z	1376269679304540167	 We going out in fashion tho you better believe that	{'place_id': 'e2c96cf8c0a43c1d'}
603374914	2021-03-28T20:13:50.000Z	1376266302306811904	Going out for a nice dinner tonight and realized I’ve forgotten about most of my pre-pandemic wardrobe.	{'place_id': '1d9a5370a355ab0c'}
135220829	2021-03-28T20:03:47.000Z	1376263771287654402	i go out my way just for this chicken it’s soo good , no 🧢. 	{'place_id': '1d9a5370a355ab0c'}
