803991183999594497	2021-05-19T23:22:53.000Z	1395158043483062273	 Omg! I'm gonna make my own Twitter reality show. I'm going to visit several of my Twitter peeps..and they know it! Stay tuned     And Karen I can't find your handle at the moment	{'place_id': '1d9a5370a355ab0c'}
141344341	2021-05-19T23:01:43.000Z	1395152719346872324	Do I Look like a snack? No ,I'm a fucking meal 🥘😈💦                         	{'place_id': 'c5657257dc77abae'}
141344341	2021-05-19T22:58:01.000Z	1395151788953808896	Start your day with a bit of sass! 🤤🤤🤤                           	{'place_id': 'c5657257dc77abae'}
541394139	2021-05-19T22:19:18.000Z	1395142046130872320	Got to visit and photograph these before they go taken down, so I guess I'm glad for that.But clearly they should not have been allowed to be torn down. 	{'place_id': '1d9a5370a355ab0c'}
3035139812	2021-05-19T22:08:55.000Z	1395139433213661187	I really love these surprise visits  class of 0 alumnus Jenna Valenti  stopped by for a visit at today’s practice.  	{'place_id': '000a381c49091836'}
1143789940951715842	2021-05-19T21:18:09.000Z	1395126655379771398	  Hope you enjoyed the visit, Cole!! You’d be an awesome addition to the OL room 🦁🦁	{'place_id': '1d9a5370a355ab0c'}
2961409179	2021-05-19T20:50:17.000Z	1395119641878487044	Fare thee well, my friend. Enjoy your retirement. You'll be missed. Come back and visit! @ Hinsdale Central Dickinson Field 	{'place_id': 'a2e9665d39e55b17', 'coordinates': {'type': 'Point', 'coordinates': [-87.93591456, 41.78815561]}}
583812607	2021-05-19T20:49:52.000Z	1395119537515896834	Visit me this weekend 🕹🐒Friday 0/0: Cocina Bar - 0 W. Lake 0pm-0am 💃🏻Sunday 0/0: BRUNCH @ Parlor Sports Bar (Cicero) - 0 W. 0th st. 0am-0pm🍾🤟🏽Let’s roll  	{'place_id': '1d9a5370a355ab0c'}
2961409179	2021-05-19T20:44:14.000Z	1395118119463624710	    Fare thee well, my friend,  . Enjoy your retirement. Don't forget to visit.	{'place_id': '13d0994d4df436f8'}
59681252	2021-05-19T19:21:41.000Z	1395097347319865347	I’m loving how this hi-low skirt turned out! My full tutorial with pattern just launched! Visit me on YouTube for the sewing tutorial or  for the pattern. @ Sew Anastasia 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.677855, 41.8875183]}}
877877348267433985	2021-05-19T18:19:12.000Z	1395081621716545543	Preparing today my 0rd visit to Indiana since 0, this time accompanying  with the support of  More than 0 years of friendship since 0. Looking forward to seeing again  	{'place_id': '1d9a5370a355ab0c'}
45155495	2021-05-19T18:07:14.000Z	1395078607987527685	Personally, i don’t think UFOs are “aliens” i think they’re us time traveling from the future 🛸	{'place_id': '1d9a5370a355ab0c'}
23274570	2021-05-19T18:05:29.000Z	1395078169049305090	Just Announced:  & The Humble will be here Friday, October 0th @ 0:0pm with  $0 adv / $0 dos 0+ Tickets are on-sale NOW !!Click the link in our bio to get your tickets today or visit  	{'place_id': '1d9a5370a355ab0c'}
27002573	2021-05-19T17:47:58.000Z	1395073759137128448	 Fried ravioli (anywhere on the hill) is the absolute best reason to visit St. Louis. Ted Drewes, however, I don't get at all.	{'place_id': '1d9a5370a355ab0c'}
632128647	2021-05-19T16:36:42.000Z	1395055825291448325	GO VISIT YOUR BROTHER, LILY! 	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-05-19T16:25:34.000Z	1395053024943427590	  You even had me picking out which room in 'The Queens' last night for my leedsian visit for canal walks and arcade shopping	{'place_id': '1d9a5370a355ab0c'}
211264632	2021-05-19T16:00:21.000Z	1395046679745896449	Still searching for 0-year old Kyrin Carter, who has autism. Hammond police and volunteers have not given up on the Missouri boy, who was in town to visit family.  	{'place_id': '99700cd6fc455c13'}
2161179828	2021-05-19T14:48:14.000Z	1395028529545363461	Always great to visit with graduating seniors!! 	{'place_id': '227d358f6ed8d29e'}
1535242830	2021-05-19T13:57:33.000Z	1395015773140180993	 and I are doing a new study about play, pop culture, and television watching. We invite you take this 0-minute survey about pandemic picks, nostalgic TV, and a few true confessions. It’s anonymous and we’d love your input. Visit the link or scan the QR code 👇🏽 	{'place_id': 'b8fcb766f3f544fe'}
24738810	2021-05-19T13:50:15.000Z	1395013938455138318	   ha! I’m strangely not itching to travel for vacation/tourism yet but I had been dying to get back out on reporting trips	{'place_id': '1d9a5370a355ab0c'}
34000602	2021-05-19T06:34:21.000Z	1394904237918855168	 Come to the city to visit plz n thx	{'place_id': '1d9a5370a355ab0c'}
201448511	2021-05-19T03:39:52.000Z	1394860330392633344	Just had a flashback of when I first started traveling for work and I had to put down incidentals for a room I did not have cash or credit for 😅 man, we don’t talk enough about these little things lol	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-05-19T03:31:08.000Z	1394858131386212354	Waverly-Shell Rock 0’0, 0 lb. 0 lineman Jacob Barthalow makes his first college visit and earns his first college offer from MIAC up and comer  Congrats from  and hope the visit went well, Jacob! Go Auggies and   	{'place_id': '1d9a5370a355ab0c'}
93229340	2021-05-19T03:24:23.000Z	1394856434039500801	 Or shall we travel to my apartment in Stockholm to celebrate?? 🤷🏻‍♀️🙌🏼	{'place_id': '1d9a5370a355ab0c'}
124641468	2021-05-19T02:55:54.000Z	1394849265340530689	It’s time to get back your travel mojo.    	{'place_id': '1d9a5370a355ab0c'}
37939571	2021-05-19T00:12:22.000Z	1394808112389967873	Yeah! It wasn’t an insurrection it was a normal tourist visit just like @	{'place_id': '1d9a5370a355ab0c'}
53196969	2021-05-20T23:31:12.000Z	1395522528274264073	 *looks at the ac doing 0 and debates turning it down*Maybe I should wait for fall to visit...	{'place_id': '1d9a5370a355ab0c'}
124298841	2021-05-20T23:07:31.000Z	1395516566897315844	 I told  I’m going to hold off my MKE visit to see you both after your defense so that we can really celebrate!	{'place_id': '1d9a5370a355ab0c'}
21109318	2021-05-20T22:50:39.000Z	1395512323658354693	   Seattle has gotten pretty beat down from homeless in the downtown. I was quite disappointed my last visit. As for Chicago, it's not a war zone like they say but just like Seattle it's not peaceful and perfect either.  If you're in very populated trendy areas it's safe.	{'place_id': '1d9a5370a355ab0c'}
33411844	2021-05-20T22:46:33.000Z	1395511289833795585	My friends from different parts of Europe are reaching out to me and I can’t wait to visit them this summer when it gets a little better.	{'place_id': '1d9a5370a355ab0c'}
600563091	2021-05-20T21:55:14.000Z	1395498373910876161	legacy &gt; fame impact &gt; popularity truth &gt; narrativesIn other words, don’t travel the road of least resistance.	{'place_id': '1d9a5370a355ab0c'}
75890633	2021-05-20T21:44:56.000Z	1395495784385286144	Relationships as an ADULT should be getting our credit right, getting a house together, traveling, healing from our traumas,  becoming a family & creating financial stability 💰 We are too OLD to just be having sex, going out to eat, and tryna be “Social Media Favorite Couple” ‼️	{'place_id': '1d9a5370a355ab0c'}
12290882	2021-05-20T19:20:09.000Z	1395459345698205697	 The correct response. Hanging out in Chicago with my kid: Any old haunts you want me to visit I’m down.	{'place_id': '1d9a5370a355ab0c'}
18276158	2021-05-20T19:18:18.000Z	1395458882558906373	The cool uncle that popped in for a visit during your teen years 	{'place_id': '4b3758bc32868265'}
2746949620	2021-05-20T18:50:03.000Z	1395451773511475201	I made my first friend traveling alone.😭😂 i think I can get used to this 😌	{'place_id': '1d9a5370a355ab0c'}
1184596595863621633	2021-05-20T16:44:45.000Z	1395420238460641285	" And there was a travel just before he received the pass. A common theme in ""clutch moments"" for LBJ."	{'place_id': '1d9a5370a355ab0c'}
61830195	2021-05-20T16:16:47.000Z	1395413203207786501	Growing up I never saw people in travel that looked like myself represented, honored to be featured in ’s list of Asian American travel influencers, along with Aya and Avi’s Airplane Adventure 📚 🌈 ✈️   	{'place_id': '1d9a5370a355ab0c'}
329314944	2021-05-20T15:58:22.000Z	1395408567860072459	If you have to ask to borrow money so you can travel for leisure you need to just stay home.	{'place_id': '1d9a5370a355ab0c'}
1136373342007697413	2021-05-20T15:22:42.000Z	1395399591995088901	They really finna make mfs travel across state lines just for an abortion that’s sick.	{'place_id': '1d9a5370a355ab0c'}
2187859146	2021-05-20T15:16:06.000Z	1395397931402989571	Finally Had to Buy a New  After 0 Years..Thanks  for Having Amazing Products like This  💚 I also Made it Back to Familiar Ground-Hanging Out Near  if You'd like to Hire Me for a        	{'place_id': '1d9a5370a355ab0c'}
2738813435	2021-05-20T14:54:25.000Z	1395392475523600387	I’ll also be applying for Global Entry but that takes even longer to process, and I’ll need to renew my recently expired passport with a new name for international travel.At least there’s a path forward, but none of this is fast or easy.	{'place_id': '1d9a5370a355ab0c'}
785324357979516928	2021-05-20T14:50:38.000Z	1395391523173306371	Traveling with a guitar for the first time. 	{'place_id': '07d9c930b2c85002'}
1153719667577511943	2021-05-20T14:47:43.000Z	1395390788322963457	Is ohare tsa allowing travel with expired IDs?	{'place_id': '1d9a5370a355ab0c'}
3403201023	2021-05-20T14:29:08.000Z	1395386111816577025	I have an expensive travel mug that’s in storage 😓	{'place_id': '1d9a5370a355ab0c'}
201448511	2021-05-20T11:47:50.000Z	1395345517538942978	 Hello!! I’d love to visit Berlin sometime	{'place_id': '1d9a5370a355ab0c'}
45907077	2021-05-20T11:14:11.000Z	1395337050400993282	0 Texas girls miss their flight from Dfw to Florida, so what do they do? Drink some whiskey, book a later flight with a layover in Chicago, then get maybe 0hrs of sleep to finally fly to Florida to see some of their favorite Texas boys!    	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-05-20T09:51:08.000Z	1395316148976164867		{'place_id': '1d9a5370a355ab0c'}
18128447	2021-05-20T04:40:00.000Z	1395237849591689218	Lmao they cut off the KCP travel from the video 	{'place_id': '1d9a5370a355ab0c'}
18128447	2021-05-20T04:39:15.000Z	1395237659929366531	Hell of a travel by KCP too 	{'place_id': '1d9a5370a355ab0c'}
934373196312338433	2021-05-20T04:32:41.000Z	1395236010745864196	Ok  were is my renewed passport if only my dad's status as Inspector General still held sway...0 European countries Americans can travel to right nowBy Hannah Sampson	{'place_id': '1d9a5370a355ab0c'}
284870903	2021-05-20T04:31:14.000Z	1395235645740748803	Dear Put Arsenic in the MCU already. Like most operations, the Avengers would benefit from having a time traveling genius with a pet Dinosaur and a *** ***. TIA 	{'place_id': '1d9a5370a355ab0c'}
14133526	2021-05-20T03:38:33.000Z	1395222384391622656	Mavis has been limping since she seemed to hurt herself power-barking at the mail lady. If this requires a vet visit I’m gonna be displeased!	{'place_id': '99700cd6fc455c13'}
17022023	2021-05-20T03:37:27.000Z	1395222108783972356	Luggage sales & teeth whitening strip sales are telling us America is back to its traveling ways, and we don’t see any drop off in board meetings being scheduled without any physical locations being shared on our platform    	{'place_id': '1d9a5370a355ab0c'}
1143789940951715842	2021-05-20T03:04:47.000Z	1395213886635266050	0’ 0 lb. 0  DL Brett Velander makes a visit to the 0 and earns a college football offer from the  program! Congratulations from  on that first offer and keep grinding, Brett!  	{'place_id': '1d9a5370a355ab0c'}
1257507696577822731	2021-05-20T03:01:13.000Z	1395212990610354176	Another summer has started. First visit at Bison Bluff of the season. 	{'place_id': '227d358f6ed8d29e'}
915899004969521154	2021-05-20T02:35:33.000Z	1395206533328351238	Heavyweight & Durable Bags and Totes! Great for  and  Available NOW! 🎒 🐝 	{'place_id': '1d9a5370a355ab0c'}
49161297	2021-05-20T01:48:39.000Z	1395194730091270154	Cuz everybody traveling lol. Them $0 flights is OVER. 	{'place_id': '1d9a5370a355ab0c'}
22225657	2021-05-20T00:31:12.000Z	1395175236669255681	Vaccinated Americans can travel to Europe this summer and I 	{'place_id': '08695e38fe9e7edf'}
998982217593389056	2021-05-21T23:54:05.000Z	1395890671882539010	I love friends who I can text and go “are you free from xx-xx? Okay cool I’m coming to visit” and they have no issue.	{'place_id': '1d9a5370a355ab0c'}
575073514	2021-05-21T23:21:05.000Z	1395882369345851396	  when we visit downtown we’re going to the fancy Arby’s	{'place_id': '1d9a5370a355ab0c'}
