23409992	2021-12-28T04:28:10.000Z	1475684978042224643	If you aint never dub WHPK,and yo name isn't  or one of the Gods, don't you fix yo face to ask me about no fucking verse of the year. Ask ya father when you visit that nigga in MDC.	{'place_id': '1d9a5370a355ab0c'}
27102400	2021-12-28T04:13:19.000Z	1475681241714339846	Airline travel right now is a total mess. 🐑🐑🐑	{'place_id': '1898951ad80c007d'}
988399524	2021-12-28T03:21:41.000Z	1475668249429909506	  💯 ...and DO NOT travel during pandemic 💯	{'place_id': '1d9a5370a355ab0c'}
1154114720632311808	2021-12-28T02:49:19.000Z	1475660103751806993	COVID has prevented my travel to Israel in past few years. So it’s been a while since I’ve had good schwarma (no offense to anyone).True parental love is your aba making incredible homemade lafot/pitot & your ima making a darn good version of schwarma on the bbq.A happy boy. :) 	{'place_id': '8b351eeb91372dc7'}
19952460	2021-12-28T01:34:33.000Z	1475641288242384897	 I visit a SMART group on occasion, they just are poorly attended so it always feels weird.	{'place_id': '1d9a5370a355ab0c'}
1110599173651480577	2021-12-28T01:23:09.000Z	1475638419422420992	Wow Can Reddish with a travel! 	{'place_id': '1d9a5370a355ab0c'}
49720927	2021-12-28T01:21:08.000Z	1475637910644867078	   My one and only visit to Toronto. I have stories.	{'place_id': '1d9a5370a355ab0c'}
3054733038	2021-12-29T23:51:04.000Z	1476340018360852481	I pointed out that their tourism ambassador has said in interviews that their approach to pitching BA influencers to come to Ghana was “y’all visit Thailand and other under developed places throw some of that spotlight our way, come spend with us”. 	{'place_id': '1d9a5370a355ab0c'}
344803795	2021-12-29T23:23:41.000Z	1476333129103290374	When traveling  and  you want family-friendly meals that are crazy simple to make with only a few ingredients, like my four ingredient Microwave  ⁣⁣___      	{'place_id': '1d9a5370a355ab0c'}
844932007075500034	2021-12-29T23:22:52.000Z	1476332923376881664	  This is the Christmas surge After New Years it willSoar past half a million New casesper day.People got to partyGot to travel We spent Xmass alone We will spend New Years alone too And we're Boosted	{'place_id': '1d9a5370a355ab0c'}
2830202522	2021-12-29T22:04:55.000Z	1476313305736175624	Last week he was the busiest man in the world! This week, Santa and his elves gave us one last present... A✨Highlight Video 🎥 of his visit to our clinic. If you were there on DEC 0th you might've made the video! Watch closely 👀 Happy Holidays!🎄  	{'place_id': '1d9a5370a355ab0c'}
1356311017228144640	2021-12-29T21:51:21.000Z	1476309890519998467	Have you downloaded our Wild Taco app? Download now (On Google Play and Apple App Store) and get a free taco on your next visit! @ Old Town, Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.6395, 41.9111]}}
995645852	2021-12-29T21:28:34.000Z	1476304160211574789	0 is almost here! Visit  to explore our winter offerings! From our engagement courses like Alpha, Following Jesus, Women Winter Course and Bible in One Year to our growth courses we do love to help you to grow in faith and community! 	{'place_id': '107ccaa2c9d4c001'}
1407103273052606464	2021-12-29T20:01:44.000Z	1476282306813911047	0 likes and I’ll visit oblock😁	{'place_id': '1d9a5370a355ab0c'}
274136314	2021-12-29T19:34:55.000Z	1476275556924760064	 I remember talking to TJ and Sam about that when I went to visit lol	{'place_id': '1d9a5370a355ab0c'}
604893656	2021-12-29T19:10:51.000Z	1476269502191001600	Thank you  for an amazing meal and wonderful dining experience. We will be back next time we visit  .   	{'place_id': '1d9a5370a355ab0c'}
1197101494832680965	2021-12-29T18:21:29.000Z	1476257075932151811	I am available now in Chicago, Illinois, United States! To get in touch, visit me on  	{'place_id': '1d9a5370a355ab0c'}
3855140355	2021-12-29T18:12:34.000Z	1476254834428887040	Pet peeve: traveling during the holidays and the local church hasn’t updated their website or Facebook page for six months so you can’t figure out what time their Christmas, Easter, Epiphany, whatever service is.	{'place_id': '5b217454f4bd5f04'}
61679419	2021-12-29T17:51:41.000Z	1476249577456029705	If you plan on gathering for NYE, follow the guidance from  ✅ Get vaxxed and boosted✅ Wear a well-fitting 😷✅ Avoid gatherings and travel if you are unvaccinated✅ Get tested✅ If you are sick, stay home✅ Visit  	{'place_id': '1d9a5370a355ab0c'}
1253485489258102786	2021-12-29T17:41:50.000Z	1476247100832768009	"Those looking to enjoy the lakefront at  need to travel north or south of the campus to do so (as evidenced by shots like these).Episode 0 - ""Lakefront"" with authors Joseph D. Kearney and Thomas W. Merrill.   "	{'place_id': '1d9a5370a355ab0c'}
168275427	2021-12-29T17:16:33.000Z	1476240738660847622	I also don't understand the desire to visit Auschwitz. 	{'place_id': '1cf51d4fa867b58a'}
1398002956621037574	2021-12-29T16:16:26.000Z	1476225607851819017	 I hope you can come to visit us near future. I love fog when the city is half covered. It’s amazing feeling to chasing a frame	{'place_id': '1d9a5370a355ab0c'}
3081071273	2021-12-29T14:16:34.000Z	1476195441532448773	Great to see traveling version  	{'place_id': '1d9a5370a355ab0c'}
2986047500	2021-12-29T11:11:26.000Z	1476148851023224842	PRE CHRISTMAS GATHERING WITH FAMILY Thank you Marco for gracing the family by your visit from Washington, DC, and treating us with dim sum! Yum! @ Minghin Naperville 	{'place_id': '3227bcceb76b6a37', 'coordinates': {'type': 'Point', 'coordinates': [-88.12074983, 41.80044437]}}
847714411	2021-12-29T04:19:38.000Z	1476045219380576258	 0 years later:Why does my kid never visit?	{'place_id': '5b217454f4bd5f04'}
2579503212	2021-12-29T03:45:54.000Z	1476036729794707458	Suppose to surprise my OG on a trip for her birthday... wish me luck	{'place_id': '1d9a5370a355ab0c'}
15244373	2021-12-29T03:36:40.000Z	1476034406305472514	“The U.S. record for daily  cases has been broken, as two highly contagious variants — Delta and  — have converged to disrupt holiday travel and gatherings, deplete hospital staffs and plunge the United States into another long winter.”  	{'place_id': '0b9c2aedc0d4a001'}
128788920	2021-12-29T03:01:59.000Z	1476025676272742401	. Health Services did a phenomenal job @ the  by doing 0+ free health screenings for the uninsured/underinsured. ThanQ  & To find out more about our work and support it by your precious donations, please visit  	{'place_id': '07d9d1ab32087001'}
1019238096284672005	2021-12-29T02:06:02.000Z	1476011595536941059	DO NOT TRUST EXPEDIA TO BOOK YOUR TRAVEL.	{'place_id': '1d9a5370a355ab0c'}
1283218907243962369	2021-12-29T01:17:02.000Z	1475999266858577923	Come shop now for the best in the game to match your Air Jordan “Patent” 0’s Visit🚨 (🚨 and shop now to support a black owned business!         	{'place_id': '08695e38fe9e7edf'}
