265090480	2020-05-26T17:43:47.000Z	1265337851387969537	LADIESSSS my boy is single and ready to mingle. East coast brotha that needs to travel. And he trEATs. Taking applications. 	{'place_id': '5cba3a162965b0e2'}
595743819	2020-05-26T17:10:39.000Z	1265329514537680905	The pool deck at the  makes Chicago summers a little better. If you are looking for a new place to live this summer, visit our website and schedule a virtual tour today! ☀️ 🏊 🍹 … 	{'coordinates': {'type': 'Point', 'coordinates': [-87.61684, 41.88666]}, 'place_id': '1d9a5370a355ab0c'}
50401543	2020-05-26T16:48:51.000Z	1265324028711100419	Having spent the last 0 days traveling to nearly every corner of the state, it’s clear that the closer you are to a border, the less likely you are following any covid restrictions at all. 	{'place_id': '3884bfa49bcdcae6'}
18334877	2020-05-26T16:45:12.000Z	1265323111068643328	Only 0 more days to save over 0% on Atheneum Collective Courses! There will never be a better rate! At a 0% OFF DISCOUNT through May, PLUS CIMA Members earn an additional 0% through May 0 (Use promocode cima0)! Visit  to enroll now! 	{'place_id': '1d9a5370a355ab0c'}
17301338	2020-05-26T15:40:38.000Z	1265306860975947783	  Oh it’ll be way better than having to visit a loved one in the hospital or cemetery. But that’s just me.	{'place_id': '1d9a5370a355ab0c'}
24490183	2020-05-26T14:59:25.000Z	1265296487585587200	   I had a friend who used to complain about EVERYTHING and use that as an excuse to be flaky. Her feet hurt, her thighs chaffed, she’s tired. Traveling with someone like that is extremely tiresome.	{'place_id': '1d9a5370a355ab0c'}
253791701	2020-05-26T14:56:40.000Z	1265295797798789123	 When you can come to Chicago, there are a bunch of great indies to visit! 💋	{'place_id': '8b351eeb91372dc7'}
1029793559363416068	2020-05-26T14:49:10.000Z	1265293906868080641	I’m all about slow, mindful travel (whether you have a few days, a week or a month); I think this type of approach leads to the most lasting memories and positive impacts! ♥️Great episode     	{'place_id': '1d9a5370a355ab0c'}
27478385	2020-05-26T14:47:30.000Z	1265293490902241280	I  had and lost friends in the timespan of 0hrs. That truly was the wildest shit. All your friends are not travel friends. Let that sink in. 	{'place_id': '1d9a5370a355ab0c'}
1029793559363416068	2020-05-26T14:42:16.000Z	1265292170728280073	The new vacation rentals trend: “instead of a week or two on the beach, people are looking for a month or more” 🏘♥️🤔 If you were to travel now, would you go for a longer stay than you typically do?   	{'place_id': '1d9a5370a355ab0c'}
622462264	2020-05-26T14:29:08.000Z	1265288865096568833	Y’all think international travel will be ok by September?🤔	{'place_id': '1d9a5370a355ab0c'}
1244646119176638464	2020-05-26T14:26:43.000Z	1265288257325207552	Our own  on  today - even though we are reopening, we still need people to stay 0 ft apart and wear masks to avoid a second surge.Visit our website for more info and join us!   	{'place_id': '1d9a5370a355ab0c'}
3242323899	2020-05-26T14:24:40.000Z	1265287742969298946	 making me miss traveling so much 😭	{'place_id': '1d9a5370a355ab0c'}
61400868	2020-05-26T13:57:48.000Z	1265280982858567683	Quarantined DJs heading to Twitch after Instagram’s live set crackdown     Sent from the New York Post app. For more from the Post, visit   To download our apps, visit 	{'place_id': '1d9a5370a355ab0c'}
