15542613	2021-02-26T23:19:43.000Z	1365441443838443524	These thugs are doing this carjacking everywhere. People need to wake up and stay alert while they are traveling.  They don't care.  They are going everywhere in Illinois. They are always black young folks. Thugs.  Crooks.  Stay safe out there. 	{'place_id': '68e2040481279657'}
164773135	2021-02-26T22:58:49.000Z	1365436183728295940	Wow I’m just going to start traveling solo. It’s always something.	{'place_id': '1d9a5370a355ab0c'}
14693198	2021-02-26T22:00:38.000Z	1365421542386106377	   Without nerds we wouldn't have space travel. My dad didn't talk at JPL and they're the ones that just put the Rover on Mars so and he said that was like walking into a Star Trek convention	{'place_id': '1d9a5370a355ab0c'}
59681252	2021-02-26T21:55:43.000Z	1365420303271292928	Sewing a lapped zipper is sooooo easy! Watch my sewing tutorial for this easy zipper application. Link in my profile or visit Sew Anastasia on YouTube. @ Sew Anastasia 	{'coordinates': {'type': 'Point', 'coordinates': [-87.677855, 41.8875183]}, 'place_id': '1d9a5370a355ab0c'}
237061993	2021-02-26T21:54:24.000Z	1365419972688756742	 Such a delightful time! Can’t wait to visit in person one day soon!	{'place_id': '1d9a5370a355ab0c'}
113526925	2021-02-26T21:09:03.000Z	1365408559618420737	   Its time for you to visit Chicago to check out our esports team	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-26T19:19:35.000Z	1365381010066702339	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
2310219014	2021-02-26T18:18:38.000Z	1365365672721739778	Chicago looked so beautiful from the sky! Ima pay an actual visit some day.	{'place_id': '1d9a5370a355ab0c'}
2658553242	2021-02-26T18:14:57.000Z	1365364748058062848	I want some more girl friends, do I shoot my friendship shot or? Ones who like to travel & we share the same interests.	{'place_id': '1d9a5370a355ab0c'}
816693071672971268	2021-02-26T18:04:21.000Z	1365362077087510528	idk how people be traveling to covid epicenters come back to Chicago without feeling any sort of remorse... like yes YOU are the problem	{'place_id': '1d9a5370a355ab0c'}
785340649	2021-02-26T17:56:26.000Z	1365360086827356162	Are you ready for some cat-and-mouse games? Enjoy  on  TODAY and visit  for even more fun! 	{'place_id': '1d9a5370a355ab0c'}
53186783	2021-02-26T17:05:19.000Z	1365347221785497603	  It’s time to lift travel restrictions on vaccinated travelers. These draconian restrictions are getting old and not necessary in the coming months. Let your citizens and their families come home now!	{'place_id': '1d9a5370a355ab0c'}
2227730094	2021-02-26T15:29:57.000Z	1365323221164302337	Feeling a little green?Get your lucky shirt.Call or visit us today 0-0-0          @ Inkyourwear 	{'coordinates': {'type': 'Point', 'coordinates': [-87.80321, 41.83291]}, 'place_id': '49ecb21afc709bea'}
16565297	2021-02-26T14:54:27.000Z	1365314289570099201	**FRIDAY, FEBRUARY 0, 0 ON SIRIUSXM HBCU 0 - 0 ON ONE WITH DJ VINCE ADAMS!!**Visit  to stream from home or the office!Today's Guest General President of Alpha Phi Alpha Fraternity, Inc. Dr. Willis L. Lonzer!Fridays 0pmCST/0pmEST 	{'place_id': '1d9a5370a355ab0c'}
225719042	2021-02-26T14:01:23.000Z	1365300935468146696	My damn shoes were supposed to be here Wednesday😒I don’t understand why they slowly traveling through Illinois all of a sudden Countryside, Willowbrook & Burbank.	{'place_id': '003cc2276dfcaca4'}
1281715002995605508	2021-02-26T13:24:33.000Z	1365291663564931074	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
47148820	2021-02-26T12:01:38.000Z	1365270796977995784	My name will fly to Mars on a future NASA mission. Send your name to too! 	{'place_id': '1d9a5370a355ab0c'}
1281715002995605508	2021-02-26T08:23:37.000Z	1365215932822532099	I am available now in Chicago, Illinois, United States! To contact me, visit  	{'place_id': '1d9a5370a355ab0c'}
2503242007	2021-02-26T03:54:48.000Z	1365148283698561025	Married and traveling w/ the LOML❤️ 	{'place_id': '1d9a5370a355ab0c'}
86104643	2021-02-26T02:34:29.000Z	1365128069774790660	 I’m Slovenian and Polish. I hope to travel there some day.	{'place_id': '0a1066f231fd366d'}
3257662579	2021-02-26T02:06:44.000Z	1365121089005887490	not being able to visit my grandpa in this panini is breaking my heart 😢💔	{'place_id': 'f04813ea26f51186'}
486428420	2021-02-26T02:04:39.000Z	1365120561148530691	 😞 ima have to catch you on visits and visit you!	{'place_id': '1d9a5370a355ab0c'}
21851651	2021-02-27T23:59:04.000Z	1365813733210140672	 If he can fly around to sleep with women, he can take the safety precautions necessary to go visit them in ATL. But, he isn't careful, which is why he and probably those around him had covid.	{'place_id': 'c8b021ffd0c94ffc'}
919343937063718913	2021-02-27T23:56:38.000Z	1365813119969357827	Perfect picture? My favorite airline  can’t wait to travel with my baby! What should be our first destination?   @ Chicago, Illinois 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}}
