1328027178949365761	2021-10-06T18:38:10.000Z	1445820693887819776	Heading to Leon, GTO for my fist time. Gonna travel Guanajuato for a week with Chef. His family so from a small town nearby.	{'place_id': '1d9a5370a355ab0c'}
1420819043548758016	2021-10-06T17:13:16.000Z	1445799330279874562	Come visit us at booth 0! NACS 0 Chicago!   @ McCormick Place 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.61665344, 41.85159813]}}
16451723	2021-10-06T16:50:06.000Z	1445793501568856071	Unprecedented. Unparalleled. Undisputed 0-Peat Champion. 🏆 	{'place_id': '1d9a5370a355ab0c'}
2799934021	2021-10-06T16:27:38.000Z	1445787845919010824	  RT Trip flight $0 just might pay a visit for giggles.	{'place_id': '1d9a5370a355ab0c'}
2876786636	2021-10-06T15:42:23.000Z	1445776458954067973	✨Visit our  now to sign your girl up for  for FREE (0/0!)✨Our Newsletter is in your inbox, & here:  ✨A  playlist has been curated exclusively for CDOG. Listen here:  	{'place_id': '1d9a5370a355ab0c'}
18912035	2021-10-06T15:41:18.000Z	1445776184462098436	One of the housewares execs here has been to Arizona once. He and his wife took their ostrich-obsessed young son to Rooster Cogburn's Ostrich Ranch. That was their sole reason to visit. He doubts his son remembers it, but it's a great memory for him! And his nephew ... 	{'place_id': 'f48e110211eee6ef'}
126694211	2021-10-06T14:48:50.000Z	1445762979866177537	Yeeeeeeeeah, this a definite first date vibe 📌 	{'place_id': '97d83d40844c1807'}
156991077	2021-10-06T14:47:47.000Z	1445762716598095879	My therapist and psychiatrist both told me I need to be paid more so that I can pay people to handle certain aspects of my life since my job makes me travel so much…like yes I too would like that but it’s not realistic	{'place_id': '1d9a5370a355ab0c'}
906415765464797184	2021-10-06T14:32:30.000Z	1445758870765277186	 Yessir!!! Looking forward to your visit 🤙🏼	{'place_id': '1d9a5370a355ab0c'}
294036562	2021-10-06T12:55:33.000Z	1445734471202918414	Chicago  place to visit by  mentioning  They didn’t mention  specifically, but of course it’s implied by recommending Old Town! 😝Old Town is the best neighborhood with dining, comedy, theatre, shopping & more! 	{'place_id': '1d9a5370a355ab0c'}
3763298247	2021-10-06T11:54:22.000Z	1445719074932240387	Up early for a one day fly me to you. If he didn’t spoil me every time I fly to him, I would not be doing an 0 am flight and getting back home at 0 pm. Yes, this was a sub tweet so he knows I love his big dick energy.	{'place_id': '1d9a5370a355ab0c'}
771369387391455232	2021-10-06T06:15:09.000Z	1445633708900241415	I had a good first day/ night here. traveling to see friends is lit.	{'place_id': '1d9a5370a355ab0c'}
100538298	2021-10-06T05:48:11.000Z	1445626923116236800	I happily turned to this podcast for a follow up to my 0 visit. Listen up... 	{'place_id': '1d9a5370a355ab0c'}
725446918516559872	2021-10-06T03:52:54.000Z	1445597912721870860	  As a consumer, you do not have to accept the rescheduled itinerary if it doesn’t suit you.According to the U.S. Department of Transporta (DOT), customers are “entitled to a refund regardless of the reason” if the booked flight is canceled by the airline. 	{'place_id': '1d9a5370a355ab0c'}
40105250	2021-10-06T03:31:07.000Z	1445592430225412101	Ceiling light rings shine upwards and create an ambient glow.        @ Four Seasons Hotel Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62488246, 41.89960191]}}
21777118	2021-10-06T02:48:34.000Z	1445581722645532675	  SUUUUPER travel	{'place_id': '1d9a5370a355ab0c'}
553916869	2021-10-06T01:16:00.000Z	1445558425253912582	the sisterhood of the traveling scrunchie	{'place_id': '1d9a5370a355ab0c'}
248796301	2021-10-06T00:59:04.000Z	1445554163459362823	  I’m sorry but they’re screwing with people’s lives. And they’re doing it to serve their own selfishness. They need to see what they’re driving people to do.  I draw the line at violence, but her bathroom visit was disrupted. Boo freaking hoo. She’s f-king with lives.	{'place_id': '1d9a5370a355ab0c'}
40303096	2021-10-06T00:50:55.000Z	1445552111979163652	This kid on Lyons has some crazy throw-ins. They travel like 0 yards or more. Heck of a weapon at your disposal	{'place_id': 'c8b021ffd0c94ffc'}
15506594	2021-10-06T00:05:17.000Z	1445540629535084553	Update on my travel home: Shitter’s full on my second  flight.  Maintenance is on board. Delayed in Chicago… 	{'place_id': '07d9db1296882004'}
1258780902	2021-10-07T23:39:25.000Z	1446258896771981314	Did the offense travel with the team to Houston?	{'place_id': '1d9a5370a355ab0c'}
3631301	2021-10-07T23:16:19.000Z	1446253083999326208	 Have rage cage, will travel	{'place_id': '6af99a29bfae42a2'}
