1102381588040552448	2020-01-06T13:33:57.000Z	1214178291193667585	My mom tried to tell me to pick the meat out of pasteles so I can eat them... bitch get away from me I’m going out to eat vegan w my friends	{'place_id': '002e24c6736f069d'}
887819943529635840	2020-01-06T13:28:21.000Z	1214176881945251840	 Get up n go to work	{'place_id': '01a9a39529b27f36'}
2523644386	2020-01-06T13:05:46.000Z	1214171199208591362	Good morning! While in my country Spain today enjoys the day of the Tres Reyes Magos. I here in NYC going to work.           	{'place_id': '01a9a39529b27f36'}
552856161	2020-01-06T13:04:34.000Z	1214170896568659970	I don’t wanna wake him up to tell him we have to go to work 🥺🥺 	{'place_id': '01a9a39529b27f36'}
2481567269	2020-01-06T13:02:32.000Z	1214170384871940096	idk who this new mel is but she’s on time to school	{'place_id': 'bc905fa51092b4d9'}
96256106	2020-01-06T12:55:20.000Z	1214168570466361344	Ughhhhhhhhhh I hate going out on the weekends. I’m way too tired today	{'place_id': '011add077f4d2da3'}
443055164	2020-01-06T12:48:17.000Z	1214166798876258312	Lost the argument with my conscience and am going to work instead.	{'place_id': '01a9a39529b27f36'}
1031017265632821248	2020-01-06T12:42:18.000Z	1214165292772929536	Back to school he goes. 	{'place_id': '081f9b4c85d52000'}
2298493883	2020-01-06T12:35:11.000Z	1214163502203592706	Going to start the year and this’s my attitude ,so here I come 🙏🏻💪🏻👊🏻 0 going to  and focused forward 👍🏻😉 Hola ! @ Astoria (Astoria, New York) 	{'coordinates': {'type': 'Point', 'coordinates': [-73.93409927, 40.76328995]}, 'place_id': '00c39537733fa112'}
54491653	2020-01-06T12:17:15.000Z	1214158990197895168	GET YO ASS UP N GO TO WORK 	{'place_id': '002e24c6736f069d'}
23239131	2020-01-06T12:03:40.000Z	1214155571919753216	Whose with me? Use the hashtag  Let’s start a revolution. Happy Monday, Now go out there and .     ...........… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
504698246	2020-01-06T12:02:03.000Z	1214155162702503937	Sometimes, during my morning commute, I pray my train car will get sucked into Hell so I don’t have to go to work.	{'place_id': '011add077f4d2da3'}
107580924	2020-01-06T11:48:11.000Z	1214151675168071680	i got two questions ! 0. why is it that i get sick on the wknds but fine to go to work on Monday ? 0. how do i fight my own body ?	{'place_id': 'b046074b1030a44d'}
246345837	2020-01-06T10:11:58.000Z	1214127459999928320	this influenza really gon take me out... that’s a pussy ass way to go out	{'place_id': '01a9a39529b27f36'}
325760257	2020-01-06T07:56:44.000Z	1214093428918751237	im not allowing my kid to join the army idc!! go to college, do something else.	{'place_id': 'fa3435044b52ecc7'}
438752328	2020-01-06T07:29:33.000Z	1214086585710497793	i did a whole lot of treating myself over the past four days lmao if we’re friends just fucking strangle me if i ask you to go out to eat bc i cannot afford to	{'place_id': '00c39537733fa112'}
33397930	2020-01-06T07:25:14.000Z	1214085501973618688	 We going out for drinks in that attire. Dassit	{'place_id': '011add077f4d2da3'}
2646076074	2020-01-06T06:54:36.000Z	1214077792888991744	I would definitely choose dave & busters over going out to eat EVERY time. 	{'place_id': '00c39537733fa112'}
70210222	2020-01-06T06:07:40.000Z	1214065979510198272	 majority of women in person “don’t shoot their shot” they stare at a man they find attractive or smiles him waiting for him to say something. It’s different if she works with the guy or goes to school with him tho	{'place_id': '002e24c6736f069d'}
3106069690	2020-01-06T05:35:44.000Z	1214057942435205125	     I can never take another one. I was scared to fly back to school. We got high asf before our flight back to Maine	{'place_id': '858cec499f8adba6'}
1158511878240448512	2020-01-06T05:27:24.000Z	1214055847418048512	I’m dead not trying to go to school tmrw	{'place_id': '011add077f4d2da3'}
21832017	2020-01-06T05:12:29.000Z	1214052093654446080	 When did they go out 🤔	{'place_id': '00c39537733fa112'}
4381475501	2020-01-06T05:10:42.000Z	1214051642448007174	Imagine having to financially depend on someone to be able to go out 🤢🤢🤮🤮	{'place_id': '011add077f4d2da3'}
794684937974726660	2020-01-06T05:00:48.000Z	1214049152939823105	 Lol!! Sounds like me. Either falling asleep when you have plans to go out. Or falling asleep while watching a movie. I’m done!!	{'place_id': '002e24c6736f069d'}
532618695	2020-01-06T04:17:48.000Z	1214038330448453633	Me when I go out and have met my social capacity 😂 	{'place_id': '01a9a39529b27f36'}
380738653	2020-01-06T04:14:36.000Z	1214037524663996417	I should stop complaining about going to work tomorrow because I do have a really good job... but I just, want another day off to chill, relax and do nothing, lol.	{'place_id': '00c39537733fa112'}
212739785	2020-01-06T03:58:54.000Z	1214033575466733569	Also if you guys think I’m geeking out too much over this it’s cause I went to school for film and TV so this is like my Super Bowl DEAL WITH IT	{'place_id': '16ff60eaacd70320'}
37579871	2020-01-06T03:46:30.000Z	1214030455651127298	 i dont go to the movies no more no more... i dont even know what is playing. But I do wonder why and how it is eveyone in a movie role is smking cigs like they are going out of style!	{'place_id': '01a9a39529b27f36'}
104993907	2020-01-06T03:44:25.000Z	1214029930792718341	Should i go to work Tomorrow? Still feeling pretty crappy 😪	{'place_id': 'b046074b1030a44d'}
1463696887	2020-01-06T03:29:46.000Z	1214026242497875968	0 years after we all went different ways to college and work we got back together for a little reunion with the boys. Brooklyn Italians 0/0s. Thank you to everyone who showed up 🏆🏆🏆… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.02354, 40.65022]}, 'place_id': '011add077f4d2da3'}
350621128	2020-01-06T03:28:22.000Z	1214025892424486917	My biggest anxiety about going to work is ALWAYS about packing my bag - which i always put off until the very last second - and I always think it’s going to take three hours to put together - and it a l w a y s takes less than 0 minutes 🙃🙃🙃 	{'place_id': '00c39537733fa112'}
17874742	2020-01-06T03:26:20.000Z	1214025378127339525	Me thinking about going to work tomorrow 	{'place_id': '01a9a39529b27f36'}
3028917251	2020-01-06T03:26:18.000Z	1214025371773014021	Michelle Williams just stole the “best acceptance speech award” 🙌🙌🙌👏👏👏 very nicely done... go out and vote #    	{'place_id': '011add077f4d2da3'}
1321505628	2020-01-06T03:24:58.000Z	1214025033082900481	 Michelle Williams is correct,WOMEN need to assert their choices in life!We need to choose a GREAT economy that supports choices!We need to choose upward mobility & full employment for women.We need to choose secure borders& choice as to where children go to school!	{'place_id': '00c39537733fa112'}
