2021-07-12T14:23:22.000Z	1414591216449212418	Here we go... EWR to PDX ✈️ 	{'place_id': '136019f64a959002'}
2021-07-12T14:15:09.000Z	1414589147436703748	WE ARE BACK ON TRACK!!!!Very happy to announce that I will be racing this weekend with Toyota Gazoo Racing Latin America! Thank you so much for this opportunity  So excited to be back racing as it’s been 0 long months because of travel restrictions to Japan  	{'place_id': '01a9a39529b27f36'}
2021-07-12T14:01:42.000Z	1414585763979739138	 I'll be around Christopher Street Pier on Thursday and finally visit Jacob Riis Beach on Friday! If you &  hopefully meet me this week, I'll wear my Speedo you'll see soon! Let me know!	{'place_id': '00c55f041e27dc51'}
2021-07-12T13:49:01.000Z	1414582572768763910	Me when a woman who came over to me on my daytime flight (when travelling alone with my 0yo & 0.0yo) to tell me she’s trying to sleep. I’ve been trying to sleep for 0 years luv.🤯😡    	{'place_id': 'f97108ab3c4a42ed'}
2021-07-12T13:36:52.000Z	1414579512927559687	Another chart, like driving, where there is seasonality after August, no matter how underwater it still is from 0. Maybe pickup in biz travel dampens this some this year but still   	{'place_id': '01a9a39529b27f36'}
2021-07-12T13:31:58.000Z	1414578283014938626	Day One of St Rays Basketball Day Camp has begun. After a long weekend of AAU travel, I’m right back in my happy place;The Ravens Nest. It’s not too late to get your child(ren) enrolled. St Rays on 0, Family on 0!!!! 	{'place_id': '002e24c6736f069d'}
2021-07-12T13:31:37.000Z	1414578194720727044	It's was the lobster goat been that out there aight who's blood line is made for space travel aight ,,it comes down to bismarck 	{'place_id': '01a9a39529b27f36'}
2021-07-12T13:11:35.000Z	1414573150914875393	I really want a pet of my own but I travel far too much to do so. It’s also low key expensive and I’d rather spend my money on traveling than pets	{'place_id': '7c09539af94ab80b'}
2021-07-12T12:49:40.000Z	1414567634356551686	Reflections       @ Central Park 	{'coordinates': {'type': 'Point', 'coordinates': [-73.972216, 40.77274259]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T12:39:30.000Z	1414565077945040897	I am available now in New York, New York, United States! To get in touch, visit me on   	{'place_id': '01a9a39529b27f36'}
2021-07-12T12:37:24.000Z	1414564547172700163	I can’t explain why, but every time I took a bite of this weeks chaunsa I was overcome by a sudden urge to blurt out “va bhai va” while swaying my head from side to side.   Last shipment of the season is July 0. Visit  to order.	{'place_id': '00ca6959663f6d44'}
2021-07-12T12:12:52.000Z	1414558375002714116	 You can fly to space for less!	{'place_id': '01a9a39529b27f36'}
2021-07-12T12:06:01.000Z	1414556652125184002	Biggest passport power climbers in last decade and biggest losers, from  Passport Index just released. UAE has certainly money-muscled its way into relevance around the world.  	{'place_id': '00c39537733fa112'}
2021-07-12T11:54:54.000Z	1414553853635223557	 London. Business travel	{'place_id': 'de7b13455f6b23f3'}
2021-07-12T10:55:56.000Z	1414539012916793344	 You have to make an appointment online at  for Nyc or philly	{'place_id': '785688d0e8db37d9'}
2021-07-12T10:54:13.000Z	1414538580580519944	this makes me want to take an international trip so badly. where's my travel buddy? 	{'place_id': '01a9a39529b27f36'}
2021-07-12T10:42:32.000Z	1414535640037961731	Huge success for YAC Travel 🥎! All the 🥎teams played there ♥️’s out. The volunteers were all on point all weekend! Great Sportsmanship throughout all 0 divisions. Running a tourney is a lot of work. But it’s all good. We do what we do 0 the GIRLS & 0 the game of 🥎! 🌽🥎😎 	{'place_id': '27485069891a7938'}
2021-07-12T07:54:20.000Z	1414493312015343618	Please visit             	{'place_id': '011add077f4d2da3'}
2021-07-12T07:12:45.000Z	1414482850007724033	Permission to Dance, Life Goes On, Fly to My Room are all clearly aimed at helping listeners through these times but some BTS songs released before the pandemic took hold seem to speak to it even before it happened. Especially the song “0:0 (Zero O’Clock).”	{'place_id': '11cdb607ab2f17bb'}
2021-07-12T05:45:20.000Z	1414460850581168128	I visit the  on this past Friday & had a  A-blast.I watched the  from 0th & 0th floor.King Kong was on the 0nd floor.          	{'place_id': '01a9a39529b27f36'}
2021-07-12T04:29:17.000Z	1414441712274092033	  That is not what this is about. It’s about destruction of green space enjoyed by EVERYONE. Come and visit and you will see the glorious diversity of people enjoying the garden	{'place_id': '01a9a39529b27f36'}
2021-07-12T04:25:28.000Z	1414440751124123648	Aw the poor baby who’s making 0 mil to cover sports and travel all over, boo hoo. I think he’s fine. 	{'place_id': '00c55f041e27dc51'}
2021-07-12T04:23:42.000Z	1414440306976636928	0 years and We have not nor will we ever forget. To see how we keep NYPD Detective First Grade Fermin Sonny Archer’s memory alive,Visit:  	{'place_id': '07d9e3ecb3c85004'}
2021-07-12T04:00:21.000Z	1414434430458859521	 – Hugging Architecture    We discuss  recent visit (and  past visits) to an architectural icon including observations only architects would enjoy and understand.	{'coordinates': {'type': 'Point', 'coordinates': [-73.96093586, 40.6874415]}, 'place_id': '011add077f4d2da3'}
2021-07-12T03:36:14.000Z	1414428358109237250	    Will, you are pathetic. Not sure what kind of propaganda you are reading but you should travel the world a bit and learn a foreign language. It will do good to you.	{'place_id': '01a9a39529b27f36'}
2021-07-12T03:00:36.000Z	1414419391345745921	In the city we play.                    **    útbol              	{'coordinates': {'type': 'Point', 'coordinates': [-73.98552775, 40.75794459]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T02:55:25.000Z	1414418090130038786	Sunday in New York..     en Madame Tussauds New York 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98883333, 40.7565]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T02:52:55.000Z	1414417458610548743	I want to wake up in the city that never sleeps         🇺🇸 en Radio City Music Hall 	{'coordinates': {'type': 'Point', 'coordinates': [-73.97918165, 40.75978493]}, 'place_id': '01a9a39529b27f36'}
2021-07-12T02:02:29.000Z	1414404768022335511	I visit the  on this past Friday and had a  A-blast. The view from the 0nd floor was so mind blowing, I'll  post videos and pictures soon....         	{'place_id': '01a9a39529b27f36'}
2021-07-12T01:45:12.000Z	1414400417732120578	I have officially found my travel partner 😍	{'place_id': '011add077f4d2da3'}
2021-07-12T01:42:59.000Z	1414399858170019840	 Its been fantastic! Come visit and say hi!	{'place_id': '01a9a39529b27f36'}
2021-07-12T01:42:27.000Z	1414399727416889346	I want to go to South Korea 🇰🇷 who is coming with me?! 🥺☺️✌🏼  	{'place_id': 'b046074b1030a44d'}
2021-07-12T01:40:49.000Z	1414399312470188041	 Visit turkey leg hut 😍	{'place_id': 'b74cebcb62a1a686'}
2021-07-12T01:34:03.000Z	1414397610295795716	Recent   = a visit to my local  has   & inspires my  strawberry  🙂💜           	{'place_id': '00c39537733fa112'}
2021-07-12T01:23:17.000Z	1414394901308088323	Nephew  passed a hot dog street vendor this AM and asked if we could “visit that farmers market too”	{'place_id': '011add077f4d2da3'}
2021-07-12T01:13:49.000Z	1414392521770344449	As a travel writer, I probably eat in at least 0 different restaurants every year. But this is the first time I remember seeing a patron escorted for unruly behavior while under the influence of some substance.   	{'place_id': '07d9d23189c85000'}
2021-07-12T00:48:16.000Z	1414386090170101763	Went to visit Denise’s  banner for the first time today. Miss her. @ Fort Greene Park 	{'coordinates': {'type': 'Point', 'coordinates': [-73.97543192, 40.6919302]}, 'place_id': '011add077f4d2da3'}
2021-07-12T00:32:02.000Z	1414382003940696072	What is it with white travel vloggers living in the Philippines but mispronouncing the language 😭😭	{'place_id': '00c55f041e27dc51'}
2021-07-12T00:28:23.000Z	1414381087552323584	I used to get emails with monthly  monthly and lifetime summary telling me I had my first visit to three new stations, first station in BK etc. Emails maybe two years ago from Colin  	{'place_id': '00c39537733fa112'}
2021-07-12T00:10:44.000Z	1414376646166130690	My favorite tower in NY 💚 short visit from FLL. 	{'place_id': '11db9977ab146000'}
2021-07-13T23:31:02.000Z	1415091431061000196	 Has to be travel related. Don’t get it otherwise	{'place_id': '011add077f4d2da3'}
2021-07-13T23:18:32.000Z	1415088285135867912	 Lots of factors. I have to go to Boston. I usually train it everywhere I can but for me an hour on subway + 0 0/0 or 0 hours on Amtrak then bus or taxi to hotel is up to 0 hours of travel. I live right next to LGA (0 min cab). Flight is less than hour. Hard to fight that.	{'place_id': '00c39537733fa112'}
2021-07-13T23:18:31.000Z	1415088281339977732	  pos then come visit smh	{'place_id': '01a9a39529b27f36'}
