2021-09-13T14:53:33.000Z	1437429247912579082	Starting rehearsals today for a long tour with a beautiful show called The Band’s Visit. Then I’m getting married on Saturday. Then I’m leaving. (0/?)	{'place_id': '011add077f4d2da3'}
2021-09-13T14:28:39.000Z	1437422980825497600	ICYMI: Back in May  announced that  can now take civil service exams free of charge! For more information, visit:  via  	{'place_id': '002e24c6736f069d'}
2021-09-13T14:26:40.000Z	1437422483779563537	Our perfect day in the city entailed a visit to the Whitney to see  extraordinary show (this particular project, which I couldn't photograph adequately, blew us away) 🖤☄ @ Whitney Museum of American Art 	{'coordinates': {'type': 'Point', 'coordinates': [-74.00909502, 40.73954174]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T14:05:28.000Z	1437417149216272388	To learn more about landscape sculptures like ‘Far Land’ and other works in The Noguchi Museum’s permanent collection visit: 	{'place_id': '107c1f326c541001'}
2021-09-13T13:52:55.000Z	1437413987671592963	Yesss for travel 	{'place_id': '27485069891a7938'}
2021-09-13T13:17:00.000Z	1437404952268361736	An early  but a late visit to  Tho school started for my kids on Thursday, today is the first full, 0-0 day for both of them & the apartment is quiet & still, and yet,  … today at least. 	{'place_id': '7b3b07f2059011bb'}
2021-09-13T12:36:32.000Z	1437394764496703489	Last day to visit  open from 0-0 today! We are in room 0 with a Seth Michael Forman solo presentation       	{'coordinates': {'type': 'Point', 'coordinates': [-73.98610528, 40.75647343]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T11:45:27.000Z	1437381910192222214	Golden hour at One World Observatory.     🏙       	{'coordinates': {'type': 'Point', 'coordinates': [-74.01236, 40.71163]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T11:12:11.000Z	1437373537870884864	Every city I visit is something waiting for me on the touchdown	{'place_id': '011add077f4d2da3'}
2021-09-13T10:41:12.000Z	1437365743553859584	 I am watching your interview with  and the 0ft rule is difficult to manage in my room. My classroom is small and the capacity is high. I wish reporters would interview teachers and visit their classrooms to see what’s really going on.	{'place_id': '011add077f4d2da3'}
2021-09-13T10:38:09.000Z	1437364976117768195	Alicia Keys just paying us a visit and hanging out at gorgeous  before the vmas!      	{'coordinates': {'type': 'Point', 'coordinates': [-74.0037785, 40.7509686]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T10:12:44.000Z	1437358576230666244	Wow, all the music & entertainment phenoms are in NYC this week, we hope some of them come visit us  before returning home!!	{'place_id': '00c39537733fa112'}
2021-09-13T09:36:40.000Z	1437349499828150278	... We purchased some very nice bottles of Jamaican rum from the Duty Free shop at  The bottles are all brand-new and sealed. The DuFry store then sealed them w/the receipt inside of the same authorized travel bag they always give you.Obviously,  has to check...	{'place_id': '00c39537733fa112'}
2021-09-13T07:10:47.000Z	1437312788410642433	 I know. But I know if I come to u imma need to stop at the towers to make my visit a lot more interesting	{'place_id': '01a9a39529b27f36'}
2021-09-13T04:33:17.000Z	1437273152044810241	 is now accepting speaking proposals for the 0 Annual Meeting and Exposition in Los Angeles, CA! Proposals are due by Oct. 0, 0. For more information on the conference and how to submit a proposal, visit here:   #数学 	{'place_id': '011add077f4d2da3'}
2021-09-13T03:59:25.000Z	1437264630322274305	Going on top of the Empire State Building had definitely been thr highlight of my quick New York trip. Those views!!! 😍😍       @ Empire State Building 	{'coordinates': {'type': 'Point', 'coordinates': [-73.98536297, 40.74843498]}, 'place_id': '01a9a39529b27f36'}
2021-09-13T03:13:58.000Z	1437253192564318209	Promise. I will visit more often.	{'place_id': '01a9a39529b27f36'}
2021-09-13T02:04:36.000Z	1437235733811585024	         let’s gooooo	{'place_id': '01a9a39529b27f36'}
2021-09-13T01:59:37.000Z	1437234479496667139	Brooklyn road vehicle transportation is going to be a nightmare tomorrow with the BQE lane closures + schools starting tomorrow. Bike or subway or double your travel time.	{'place_id': '011add077f4d2da3'}
2021-09-13T01:20:19.000Z	1437224592351846400	      I don’t think it’s an active issue for the administration. It’s incredible that a non vaccinated tourist has more right to enter the country than vaccinated visa holders who wish to leave for a week or two to visit relatives after 0 months.	{'place_id': '01a9a39529b27f36'}
2021-09-13T01:10:57.000Z	1437222232611299329	Here in NYC there’s a Covid vaccine verification commercial that shows we can dance in a club MASKED after we present our vaccination credentials.Wanna visit? 	{'place_id': '01a9a39529b27f36'}
2021-09-13T00:39:22.000Z	1437214285634093057	   It was busy today my friend but it’s always better when lots of pals stop by! We even had a few pals sort of just come to see what it’s like, so hopefully they can come visit us again 	{'place_id': '00c39537733fa112'}
2021-09-13T00:34:59.000Z	1437213181085106180	If you travel by subway in queens regularly, why??	{'place_id': '01a9a39529b27f36'}
2021-09-13T00:24:19.000Z	1437210499146452997	 It’s one of my favorite places to visit whenever I’m in the city.	{'place_id': '01a9a39529b27f36'}
2021-09-13T00:03:03.000Z	1437205145562062850	Serendipity from the  Public Interest Auction. Got to visit with our neighbors (Dean) Eric Shannon & Kevin Rowe (and Theo 🐶) as they hosted recent grads for a backyard BBQ and plant-buying expedition 🪴 	{'place_id': '6b0f2ded51928926'}
2021-09-14T23:49:08.000Z	1437926418885791752	 Can we end the travel ban for vaccinated people?	{'place_id': '00c39537733fa112'}
2021-09-14T22:37:28.000Z	1437908383500222468	 Hi there. Thought I’d mention I heard a guest on Varney say the Canadian border would be open for non essential travel starting Sept. 0. Not sure if it’s true or if you heard anything about it.	{'place_id': '002e24c6736f069d'}
2021-09-14T22:28:12.000Z	1437906052255735810	Come visit us at 0 Fifth Avenue 💥Open weekly Wednesday-Monday!   	{'place_id': '01a9a39529b27f36'}
2021-09-14T21:53:08.000Z	1437897226458738688	 ...When I visit UG, Primate Lodge is my target.	{'place_id': '94542c3c348faf28'}
2021-09-14T21:44:35.000Z	1437895076512944143	 I believe this is where I stayed & loved it!	{'place_id': '01a9a39529b27f36'}
2021-09-14T21:29:34.000Z	1437891298388807680	     Big difference. Do you upload your passport on your phone b0 you travel to Greece? Whatever guy	{'place_id': '0e9d70267c50f090'}
2021-09-14T21:28:16.000Z	1437890968234115076	 The tyranny of travel team youth sports is ridiculous. Young people have been playing sports for centuries without the costs and time suck of travel teams.	{'place_id': '00c39537733fa112'}
