2020-09-28T11:46:52.000Z	1310546515807657985	 He’s so broke he has to do what we all do and take for granted... “tRump is so broke he has to: pick his grandkids up from school, decorate the house for XMass, paint the kitchen, cook dinner, go to the grocery store,drive spouse to a doctor’s visit, pick kid up from college, etc	{'place_id': '011add077f4d2da3'}
2020-09-28T11:08:03.000Z	1310536747655323654	Do yourself a favor and visit  if you haven’t already and read  0 part story. People have donated over $0.0 million so she can live the rest of her life peacefully. Her story is something else 😭  	{'place_id': '011add077f4d2da3'}
2020-09-28T10:08:52.000Z	1310521850854871040	 Travel more 😭😘	{'place_id': '23a06e5cc6d83009'}
2020-09-28T09:29:16.000Z	1310511888183308288	One thing I notice busy women forget to do is check in with their bodies: am I rested? Do I need to use the bathroom? Is there anything I notice that is off? Did I visit the doctor recently to discuss any oddness I’m noticing with my body?	{'place_id': '011add077f4d2da3'}
2020-09-28T05:16:47.000Z	1310448348755832837	 No doubt our ancestors all crossed paths back in the day👍 We placed my dad’s ashes in the family plot in Kiltomy, just down the road from the post office  0 years ago - most likely some Lynches and Dalys in there as well.  Worth a visit if you’re ever there.	{'place_id': '00c39537733fa112'}
2020-09-28T04:49:35.000Z	1310441502095618048	My NBA friends have been robbed of arguably the greatest travel itinerary in Finals history. Los Angeles AND Miami?!?	{'place_id': '01a9a39529b27f36'}
2020-09-28T04:31:30.000Z	1310436951816843266	 It is true that there are very few female urologist in South Asia subcontinent. I have seen this practically when I visit Bangladesh, only 0 practicing female urologists. However, there are many well qualified uro gynecologists with expertise in this field. So agree with Nishant!	{'place_id': '3b19e801b1ec1805'}
2020-09-28T04:12:56.000Z	1310432277919395840	Got tired of asking “friends” to travel now I’m doing it by myself 🥰  This weekend was awesome 	{'place_id': '011add077f4d2da3'}
2020-09-28T04:00:49.000Z	1310429231277584385	 Hmm. Elon emphasized short travel distances so this may kick start Quebec & Ontario for North America.Carolina to Canada Chemicals to CathodesPerhaps Brazil & Portugal too.	{'place_id': '00c39537733fa112'}
2020-09-28T04:00:15.000Z	1310429085127061505	 - I Saw People Sketching    = We discuss the new format for Archispeak, and Cormac pays a visit to the office.	{'place_id': '011add077f4d2da3', 'coordinates': {'type': 'Point', 'coordinates': [-73.96093586, 40.6874415]}}
2020-09-28T03:23:11.000Z	1310419758446149632	California is off the travel ban for New York. I’ll be out there before the year is over 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥	{'place_id': '01a9a39529b27f36'}
2020-09-28T02:38:55.000Z	1310408617552744448	Jets on White series explores the possibility Trump time travel.  Worth your time. 	{'place_id': '3c6a77e80605a98e'}
2020-09-28T02:10:16.000Z	1310401406759776256	Life is short....my goal is to visit a different country every summer in July.	{'place_id': '7329ff8dbdf5bc00'}
2020-09-28T02:10:03.000Z	1310401352393273344	Never underestimate what a diy solution can do for you.  NoseSecret® , instant nose correction that works, no fillers and no surgery.Try it today, visit us at      	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.9681113, 40.8005022]}}
2020-09-28T02:01:10.000Z	1310399118150336512	New stamps + blue pen = ready to write! I adopted 0 voters in NC as part of  Help  reach their goal of sending out 0 million letters by the Oct 0th official send date to help increase voter turnout  For more info visit  	{'place_id': '01a9a39529b27f36'}
2020-09-28T00:55:18.000Z	1310382541476630528	 Yeah it’s not even 0 hours it’s basically 0 hours that you’re paying for. When you fly to Europe from the East Coast of America we get there like at 0o’clock in the morning and have to wait for nine hours to check into your hotel. It’s crazy town	{'place_id': '01a9a39529b27f36'}
