2020-02-17T18:10:04.000Z	1229468069057024003	Happy Presidents Day! Enjoy 0% off Notary or Apostille Service today with social media mention. 📲📩🖋••••••••         … 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T17:59:21.000Z	1229465369607319552	i ain’t got any kids so imma just live in random places and travel the world until that happens.	{'place_id': '01a9a39529b27f36'}
2020-02-17T17:41:42.000Z	1229460927424212992	 Thankfully, no. But I am about to tragically separate them by having one travel to future forever, so I’m going to be mean to them. And I love them so much :(	{'place_id': '011add077f4d2da3'}
2020-02-17T17:40:59.000Z	1229460749807951879	. shares the adventures of one of our core members, Peter Kim, as he challenged himself to visit all 0+ of their coworking space locations by bike from   	{'place_id': 'e9143a85705b4d40'}
2020-02-17T17:37:06.000Z	1229459772199579648	I’ve been wanting to see this dang globe ever since I found out it existed. I love all things travel related.      @ Unisphere 	{'coordinates': {'type': 'Point', 'coordinates': [-73.84509802, 40.7464035]}, 'place_id': '00c39537733fa112'}
2020-02-17T17:28:24.000Z	1229457582550667272	     Jaake dekho pehle ,, Bhut accha tourism hai,, Gadho ko Ghee Hajm nai hota ,, sirf oppoz krna hai,, Not a single village destroyed,, visit India aftr 0 yrs,, first time feel like smthing for tourists,, great job BJP	{'place_id': '7356b662670b2c31'}
2020-02-17T17:27:22.000Z	1229457323439030272	Academic Twitter is sofuckingboring to me because I cannot imagine thinking about research or working 0/0. I like art music travel dancing bullshit movies politics volunteering tv my friends my library my future dog etc.	{'place_id': '011add077f4d2da3'}
2020-02-17T17:26:23.000Z	1229457076574990337	It was a pleasure for the entire team  to visit one of the best contributions by  to the world: . supports d leadership taken by our PM  to lead world… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9540259, 40.6110312]}, 'place_id': '011add077f4d2da3'}
2020-02-17T17:12:24.000Z	1229453554898829312	Make It Rain 🌧 ☔️ ☔️ ☔️ ☔️ We have a couple more spots left to enter please visit  and click on Enter Competition!!! To see this competition buy 🎫 $0 at the door!!! allurestatenisland… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.27852, 40.55452]}, 'place_id': '65b4760a2b411e11'}
2020-02-17T17:08:10.000Z	1229452492104241153	 EPs Preview New Zari's First Time-Travel Mission, Taking on Original Influencer Marie Antoinette  via 	{'place_id': '79f733f9fbf31f6b'}
2020-02-17T17:01:36.000Z	1229450837207977985	Calling all corporate volunteers! Learn more about the native plants of the East River Park by scheduling an impactful corporate volunteer experience at the LES Ecology Center. Visit the link in bio or contact Antonio Lopez at antonio for more information. 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9762067, 40.7128745]}, 'place_id': '01a9a39529b27f36'}
2020-02-17T16:57:28.000Z	1229449795992989698	 Visit me and bring me one please?;,(	{'place_id': '01a9a39529b27f36'}
2020-02-17T16:56:58.000Z	1229449671191474177	Tips for never ending travel and jet lag? Go!!	{'place_id': '011add077f4d2da3'}
2020-02-17T16:55:26.000Z	1229449284350873600	What a madman. How will 0/0 survivors like me travel. Many still have PTSDS. 	{'place_id': '00c39537733fa112'}
